,jw_entity_id,id,title,poster,description,release_year,type,imdb_popularity,tmdb_popularity,imdb_score,imdb_votes,tmdb_score,imdb_id,tmdb_id,genre_ids,age_certification,runtime,production_countries,seasons,streaming_app
653,ts80087,80087,Dances with the Dragons,/poster/54281136/{profile},"Gayus and the beautiful but cruel sword-wielder Gigina are ""special equationists,"" individuals that manipulate the equations that govern world's laws thus allowing fantastic and deadly results. These two bounty hunters are caught up in a battle with dragons in the city of Eridana and in the intrigue of great nations.",2018.0,show,,5.193,6.0,49.0,6.7,tt9806640,78610,"[2, 1, 6, 14]",TV-MA,24.0,['JP'],1,Crunchyroll
654,ts289312,289312,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,/poster/269498465/{profile},"Childhood friends Tachibana Hinata and Jinguji Tsukasa were living the everyday life of office workers. Then, on the way home from a mixer, they were sent flying into another world by a mysterious being. Once there, Jinguji sees his best friend has been turned into a beautiful blonde-haired, blue-eyed girl...?! The adorableness of Tachibana’s female form completely flummoxes Tachibana. But these two are each others’ best friends. To keep their relationship from being destroyed, they must defeat the Demon Lord as quickly as possible and return to their original forms.",2022.0,show,,18.95,,,7.0,,125712,[14],TV-14,23.0,['JP'],1,Crunchyroll
655,ts223360,223360,SAKUGAN,/poster/261966951/{profile},"One day in the distant future. Humans live shoulder to shoulder in “colonies” separated by rock. Outside the colonies, a dangerous undeveloped area called “the Labyrinth” is expanding. Those who risk their lives to develop “the Labyrinth”, who mark out the undeveloped areas, are known as “Markers”. A young girl, Memempu, who wants to be a Marker one day, and a man, Gagumber, who used to be one. This mismatched father and daughter now take on the Labyrinth! “If there’s no path, dig one!”",2021.0,show,,15.936,,,7.167,,96398,"[2, 1, 14]",TV-14,23.0,['JP'],1,Crunchyroll
656,ts20212,20212,Hamatora,/poster/282278458/{profile},"""Minimum""— Otherwise known as ""small miracles"", is a special power that only manifests within a few, select humans. Those who possess this ability are called ""Minimum Holders."" 2014: Yokohama. The detective duo of Nice and Murasaki, otherwise known as ""Hamatora,"" wait again today for work with their friends at a table at Cafe Nowhere that they use as their agency. Suddenly, a job they receive seems to have a weird connection with the serial killer that their police friend, Art is searching for.",2014.0,show,,5.178,6.9,345.0,7.3,tt3399706,61791,"[2, 7, 1]",TV-MA,24.0,['JP'],2,Crunchyroll
657,ts20091,20091,HaNaYaMaTa,/poster/142254738/{profile},"Naru is a high school girl who is average in every way. She loves fairy tale heroines, though she’s never had the courage to escape her ordinary life. One day, she sees Hannah, a transfer student, dancing in the moonlit and becomes inspired to learn Yosakoi dancing.",2014.0,show,,2.825,7.1,83.0,8.9,tt3774756,61528,"[2, 3]",TV-14,26.0,['JP'],1,Crunchyroll
658,ts89852,89852,Homicide City,/poster/238691998/{profile},"Takes a deep dive into the stories of unforgettable murders from the streets of Philadelphia. Told through the eyes of veteran homicide detectives, local reporters and the victim's families who have lost so much, these are the cases they will never forget.",2018.0,show,4510.0,1.525,7.4,140.0,10.0,tt11629570,104986,"[5, 23, 4]",TV-14,43.0,['US'],3,Crunchyroll
659,ts53540,53540,Ninja Girl & Samurai Master,/poster/141867538/{profile},"The anime centers on a young female ninja named Chidori, whose dream is to help the Warring States-era warlord Oda Nobunaga to achieve his goals.",2016.0,show,,6.778,7.6,35.0,6.7,tt6114698,68146,"[2, 3, 1]",,4.0,['JP'],3,Crunchyroll
660,ts30503,30503,Heroman,/poster/139046195/{profile},"Heroman is a manga and anime produced by Bones and created by Marvel's Stan Lee. The manga is published in Monthly Shōnen Gangan and began serialization in September 2009, while the anime series premiered on April 1, 2010, on TV Tokyo and related stations. Stan Lee came up with the series' basic plot, referring to the series and character as ""a new hero for the 21st century"".

Broadcast of Heroman in the United States is currently being planned by Lee and producer Masahiko Minami.",2010.0,show,,7.903,7.1,89.0,7.5,tt1815065,42412,"[2, 1, 14]",TV-PG,24.0,['JP'],1,Crunchyroll
661,ts4773,4773,DD Fist of the North Star,/poster/246951030/{profile},"A parody of the post-apocolyptic anime, ""Fist of the North Star"", wherin the nuclear holocaust never happens, and so Kenshiro and his brothers have to settle into a regular society and find jobs!",2011.0,show,,0.697,6.7,34.0,6.0,tt4563516,130728,"[2, 3, 1]",TV-14,23.0,['JP'],3,Crunchyroll
662,ts26817,26817,Inferno Cop,/poster/139223902/{profile},"The story deals with those in this world who dwell in the dark, invisible to the naked eye. From time to time, these figures bare their fangs and attack people. Inferno Cop is a messenger of justice who came from the depths of hell to protect people from them.",2012.0,show,,3.339,6.5,563.0,5.3,tt3498252,46798,"[2, 3, 1, 4, 7]",TV-MA,4.0,['JP'],1,Crunchyroll
