jw_entity_id,title,type,release_year,seasons
ts21896,Maria the Virgin Witch,show,2015,1
ts32172,Love Live! School Idol Project,show,2013,2
ts29087,The Wallflower,show,2006,1
ts78482,コードギアス 亡国のアキト,show,2012,1
ts35071,Gosick,show,2011,1
ts285054,Irina: The Vampire Cosmonaut,show,2021,1
ts28505,Ghost Hunt,show,2006,1
ts38413,Shomin Sample,show,2015,1
ts27027,Jormungand,show,2012,2
ts20273,Gonna be the Twin-Tail!!,show,2014,1
ts282865,RE-MAIN,show,2021,1
ts44786,Ground Control to Psychoelectric Girl,show,2011,1
ts283070,Sabikui Bisco,show,2022,1
ts89574,"Hensuki: Are You Willing to Fall in Love With a Pervert, As Long As She's a Cutie?",show,2019,1
ts23519,Hetalia,show,2009,6
ts39096,Inari Kon Kon,show,2014,1
ts219055,Stars Align,show,2019,1
ts26826,Shakugan no Shana,show,2005,3
ts29717,Omamori Himari,show,2010,1
ts38713,Shonen Maid,show,2016,1
ts218891,ID: INVADED,show,2020,1
ts28685,VanDread,show,2000,2
ts29669,The Legend of the Legendary Heroes (Duplicate),show,2010,1
ts89578,BEM,show,2019,1
ts55399,Yurikuma Arashi,show,2015,1
ts46822,Shuffle!,show,2005,1
ts1978,Corpse Princess,show,2008,2
ts33074,Ben-To,show,2011,1
ts218889,Deca-Dence,show,2020,1
ts44295,Tokyo Ravens,show,2013,1
ts270076,Slow Loop,show,2022,1
ts453,Black Blood Brothers,show,2006,1
ts21908,Yatterman Night,show,2015,1
ts20096,Ghost in the Shell: Arise - Alternative Architecture,show,2015,1
ts90587,Pani Poni Dash!,show,2005,1
ts22555,Tenchi Universe,show,1995,3
ts78285,Ai Tenchi Muyo!,show,2014,1
ts57400,Okami-san and Her Seven Companions,show,2010,1
ts217635,Girls' Frontline,show,2019,3
ts22396,No-Rin,show,2014,1
ts41223,Senran Kagura: Ninja Flash,show,2013,2
ts38727,High School Fleet,show,2016,1
ts38801,Handa-kun,show,2016,1
ts223460,Lapis Re:LiGHTs,show,2020,1
ts296853,Deep Insanity: The Lost Child,show,2021,1
ts20761,Dragonar Academy,show,2014,1
ts17840,Chaos;Head,show,2008,1
ts34326,My Bride is a Mermaid,show,2007,1
ts15001,Chrome Shelled Regios,show,2009,1
ts21220,Phantom: Requiem for the Phantom,show,2009,1
ts35526,Kanon,show,2006,1
ts34166,Scrapped Princess,show,2003,1
ts224952,Ikebukuro West Gate Park,show,2020,1
ts30076,Dance in the Vampire Bund,show,2010,1
ts33285,Romeo × Juliet,show,2007,1
ts31699,My-Hime,show,2004,1
ts58333,Tenchi Muyo! War on Geminar,show,2009,1
ts58416,The Disappearance of Nagato Yuki-chan,show,2015,1
ts35517,Sankarea: Undying Love,show,2012,1
ts20204,JINSEI - Life Consulting,show,2014,5
ts43106,[C] The Money of Soul and Possibility Control,show,2011,4
ts17417,dot hack roots,show,2006,1
ts224719,"Shachibato! President, It's Time for Battle!",show,2020,1
ts26653,Noein: To Your Other Self,show,2005,1
ts42697,Divine Gate,show,2016,1
ts26485,Good Luck Girl!,show,2012,1
ts326917,She Professed Herself Pupil of the Wise Man,show,2022,1
ts20032,Rage of Bahamut,show,2014,3
ts285708,Visual Prison,show,2021,1
ts89563,Cop Craft,show,2019,1
ts56245,Sakura Quest,show,2017,1
ts89565,The Ones Within,show,2019,2
ts265466,The Vampire Dies in No Time,show,2021,1
ts35050,The Mystic Archives of Dantalian,show,2011,1
ts27315,Speed Grapher,show,2005,1
ts32170,Dog & Scissors,show,2013,1
ts27220,Gun x Sword,show,2005,1
ts224886,Listeners,show,2020,1
ts545,Black Cat,show,2005,2
ts219536,Phantasy Star Online 2: Episode Oracle,show,2019,1
ts18476,Battle Athletes,show,1997,2
ts19058,Burst Angel,show,2004,1
ts88969,Case File N° 221: Kabukicho,show,2019,1
ts5624,Riddle Story of Devil,show,2014,1
ts55906,Bikini Warriors,show,2015,1
ts315176,Tribe Nine,show,2022,1
ts34625,Sekai Ichi Hatsukoi: The World's Greatest First Love,show,2011,2
ts31728,Kaleido Star,show,2003,3
ts268385,Pretty Boy Detective Club,show,2021,1
ts6619,Chrono Crusade,show,2003,1
ts216573,After School Dice Club,show,2019,1
ts237088,King's Raid: Successors of the Will,show,2020,1
ts34363,Valvrave the Liberator,show,2013,2
ts74759,エウレカセブンAO,show,2012,1
ts35093,Coppelion,show,2013,1
ts38064,Pumpkin Scissors,show,2006,1
ts20199,Laughing Under the Clouds,show,2014,1
ts221063,Shironeko Project: Zero Chronicle,show,2020,1
ts34359,Vividred Operation,show,2013,1
